MsgID.STATE,1521024548.8232663,False,False
MsgID.LOCAL_VELOCITY,1521024555.2964346,4.7436895,-0.4029880,0.1812080
MsgID.GLOBAL_POSITION,1521024555.2969384,-122.3974584,37.7925023,5.0000000
MsgID.LOCAL_VELOCITY,1521024555.2969384,4.7400000,-0.4000000,0.1800000
MsgID.LOCAL_POSITION,1521024555.5455308,3.9078600,-0.8591412,-4.9509802
MsgID.LOCAL_VELOCITY,1521024555.5455308,5.8891931,-0.2786412,-0.0392575
MsgID.GLOBAL_POSITION,1521024555.5458040,-122.3974596,37.7925151,4.9500000
MsgID.LOCAL_VELOCITY,1521024555.5458040,5.8800000,-0.2700000,-0.0300000
MsgID.LOCAL_POSITION,1521024555.7967982,5.3590918,-0.9352567,-4.9663424
MsgID.LOCAL_VELOCITY,1521024555.7967982,6.9118872,-0.1707513,-0.2084416
MsgID.GLOBAL_POSITION,1521024555.7972112,-122.3974605,37.7925282,4.9660000
MsgID.LOCAL_VELOCITY,1521024555.7972112,6.9100000,-0.1700000,-0.2000000
MsgID.STATE,1521024556.0222967,True,True
MsgID.GLOBAL_HOME,1521024556.0227149,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024556.0473821,7.1521773,-0.8993934,-4.9858007
MsgID.LOCAL_VELOCITY,1521024556.0473821,7.7519598,-0.0940559,-0.1033854
MsgID.GLOBAL_POSITION,1521024556.0883770,-122.3974601,37.7925443,4.9850000
MsgID.LOCAL_VELOCITY,1521024556.0883770,7.7500000,-0.0900000,-0.1000000
MsgID.LOCAL_POSITION,1521024556.2969854,9.3661699,-0.7709361,-4.9805131
MsgID.LOCAL_VELOCITY,1521024556.2969854,8.4078741,-0.0529086,-0.0295802
MsgID.GLOBAL_POSITION,1521024556.2974429,-122.3974586,37.7925644,4.9800000
MsgID.LOCAL_VELOCITY,1521024556.2974429,8.4100000,-0.0500000,-0.0300000
MsgID.LOCAL_POSITION,1521024556.5471382,11.5867529,-0.7823589,-4.9877033
MsgID.LOCAL_VELOCITY,1521024556.5471382,8.6985989,-0.0420649,-0.0064890
MsgID.GLOBAL_POSITION,1521024556.5474184,-122.3974588,37.7925842,4.9870000
MsgID.LOCAL_VELOCITY,1521024556.5474184,8.6900000,-0.0400000,0.0000000
MsgID.LOCAL_POSITION,1521024556.7971027,13.5340729,-0.9230837,-4.9871931
MsgID.LOCAL_VELOCITY,1521024556.7971027,8.7771559,-0.0400180,0.0249300
MsgID.GLOBAL_POSITION,1521024556.7975187,-122.3974604,37.7926019,4.9870000
MsgID.LOCAL_VELOCITY,1521024556.7975187,8.7700000,-0.0400000,0.0200000
MsgID.STATE,1521024557.0222902,True,True
MsgID.GLOBAL_HOME,1521024557.0226185,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024557.0474920,15.7789392,-1.1053921,-4.9906535
MsgID.LOCAL_VELOCITY,1521024557.0474920,8.8218622,-0.0275713,0.0900871
MsgID.GLOBAL_POSITION,1521024557.0883086,-122.3974624,37.7926220,4.9900000
MsgID.LOCAL_VELOCITY,1521024557.0883086,8.8200000,-0.0200000,0.0900000
MsgID.LOCAL_POSITION,1521024557.2974956,18.1487579,-1.1198112,-4.9933138
MsgID.LOCAL_VELOCITY,1521024557.2974956,8.8507805,-0.0072738,0.1187411
